"Reflector/TG Number","Name/Description","DMR2NXDN TG #"
"11","HELLAS Zone Net!  By SA7SVR","7000011"
"12","URF002","7000012"
"14","(WWW) Spanish NXDN","7000014"
"38","XLX138 Module B","7000038"
"49","XLX049 NXDN bridged to XLX049C","7000049"
"76","XLX Californa Tennesee","7000076"
"91","World Wide","7000091"
"97","URF097","7000097"
"100","NXDN 100","7000100"
"116","116 TGIF","7000116"
"121","XLX121 NXDN  TG121","7000121"
"127","NXDN EA1RKF","7000127"
"131","KD9FUW-NXDN","7000131"
"137","W3KIT","7000137"
"138","XLX138 XNexus","7000138"
"140","URF140","7000140"
"143","URF143","7000143"
"148","HS3TDI","7000148"
"149","HS3TDI","7000149"
"165","NXDN165-Digital Voice GREECE","7000165"
"202","HELLAS Zone","7000202"
"204","Nxdn NL","7000204"
"205","Talkgroup Almere","7000205"
"207","Talkgroup Nieuwegein","7000207"
"214","NXDN Treehouse SPAIN","7000214"
"222","IT NXDN Reflector","7000222"
"224","TG 224 NXDN","7000224"
"226","Romania NXDN YO","7000226"
"235","DVSPh","7000235"
"239","SW Florida NXDN Reflector","7000239"
"256","WX4ALA","7000256"
"284","URF284","7000284"
"286","NXDN TÜRKİYE","7000286"
"293","NXDN Slovenia 293","7000293"
"302","TG 302 Canada","7000302"
"306","URF306","7000306"
"359","URF359","7000359"
"401","N1LMA DIGITAL","7000401"
"405","XLX405 - NXDN","7000405"
"408","NXDN-JET","7000408"
"419","Toledo Amateur Digital Association","7000419"
"420","VE2SUS REF420","7000420"
"427","XLX427A - NXDN TG427","7000427"
"461","URFPRC","7000461"
"478","URF478","7000478"
"517","URF517","7000517"
"530","ZL3DMH","7000530"
"545","PennLInk Group","7000545"
"621","URF621","7000621"
"654","N2FED","7000654"
"665","KK6RQ","7000665"
"700","URF700","7000700"
"707","KD0IOE","7000707"
"711","NXDN Global by David PA7LIM","7000711"
"718","URF718","7000718"
"724","DV BRAZIL - BRANDMEISTER-BR","7000724"
"730","BM TG730 Chile","7000730"
"732","Café Digital Colombia","7000732"
"734","URFVEN","7000734"
"741","URFURU","7000741"
"747","DVMproject MM - KN6TYF","7000747"
"748","UYURUGUAY.NET","7000748"
"760","URF760","7000760"
"777","JesusSaves - Not Linked","7000777"
"801","XLX-801","7000801"
"822","NC VA Fusion NXDN","7000822"
"825","URFLAN","7000825"
"847","URF847","7000847"
"850","HAMLINK","7000850"
"860","ChinaServr8601","7000860"
"888","KN6TYF","7000888"
"902","NXDN AR902MHz","7000902"
"909","XLX909 NXDN","7000909"
"910","DC - MD -VA XLX910D","7000910"
"911","URF911","7000911"
"914","EA8EE","7000914"
"915","URF915","7000915"
"918","XLX918 NXDN","7000918"
"925","URF925","7000925"
"930","Hellenic NXDN Chat","7000930"
"933","URF933","7000933"
"936","URFLKA","7000936"
"960","NXDN Gray","7000960"
"1007","Harley Hangout ARC","7001007"
"1200","Florida","7001200"
"1224","PI1DAF Almere","7001224"
"1259","URF259","7001259"
"1453","Türk Amatör Dijital Ağı","7001453"
"1701","SFARG","7001701"
"1923","URFTRK","7001923"
"1947","URFTBR","7001947"
"2020","FreeDMR Greece","7002020"
"2021","GR-AETHER-HELLAS-NXDN","7002021"
"2029","FreeDMR Greece","7002029"
"2044","NXDN NL-Oost Reflector","7002044"
"2121","2121 Cambria County Multi-Mode Hub","7002121"
"2147","RC VELETA","7002147"
"2261","145500.xyz","7002261"
"2262","145500.xyz","7002262"
"2263","145500.xyz","7002263"
"2264","145500.xyz","7002264"
"2265","145500.xyz","7002265"
"2266","145500.xyz","7002266"
"2267","145500.xyz","7002267"
"2268","145500.xyz","7002268"
"2269","145500.xyz","7002269"
"2272","URFD7A","7002272"
"2301","CZ-NXDN","7002301"
